labels	text
1	i said what i said because of cornix where more males born in colder places
1	i said what i said because of males where more cornix born in places
1	i said what i said because of inch males where more cornix born in colder places
1	i said what i said because of males where more cornix born in colder places
1	i made a graph to show whether the temperature has been fall or not and the graph read me that the weather has been increasing so it is assumed the weather has not been fall
1	i made a graph to show whether me temperature has been decreasing or not and the graph showed the that the not has been increasing so it weather false the weather has is been decreasing
1	i made a graph to show whether the has been decreasing or not and the graph showed me that the weather has so it is false the weather has not been decreasing
1	i made a graph to show whether the temperature has been decreasing or not and the graph showed me that the weather has been increasing so it is false the weather has not been decreasing
1	i think this claim is false because if same see on the data when can butterflys are inside they can a monarch caterpillar can a chrysalis but on the outside it shows habitat it be be the you as the indoor also as you or see lower temperatures and higher temperatures can both be caterpillars or chrysaliss so i dont believe the temperature affects them or the that
1	i think this claim is false because if you see on the data when monarch butterflys are they can be a caterpillar or a chrysalis but on outside it shows that it can be the indoor also as you can see lower temperatures and higher temperatures can both be or so i dont believe the temperature affects or the habitat
1	i think this call is off key because if you see on the data when milkweed butterfly butterflys are inside they can be a cat or a chrysalis but on the outside it shows that it can be the same as the indoor also as you can see lower temperatures and in high spirits temperatures can both be caterpillars or chrysaliss so i dont believe the temperature impress them or the habitat
1	i think this claim is false because if you see on the data when monarch butterflys are inside they can be a caterpillar or a chrysalis but on the outside it shows that it can be the same as the indoor also as you can see lower temperatures and higher temperatures can both be caterpillars or chrysaliss so i dont believe the temperature affects them or the habitat 
1	the population went down almost million in only years the butterfly population went down million in one year therefore the population is going down
1	the population extend down almost trillion in only years the butterfly population extend down trillion in one year therefore the population is going down rapidly
1	the went population down million almost in only years the butterfly population went down million in one year therefore the population is going down rapidly
1	the population went down almost million in only years the butterfly population went down million in one year therefore the population is going down rapidly 
1	i think this claim is partly true and partly false i think because you look at the most of them have lower temperatures than the most males are to for their you see most females are and up but some males are higher than and some females are lower than but as you see most females are higher than and most males lower than
1	i think this claim is partly true and partly false i think this because if you look at the males female person most of them have lower temperatures than the females virtually most virtually depressed males are to for their temperatures temperature just as you see most females are and up but female person some males are higher than and some females are lower than but as you see most females are higher than and most males are lower than
1	i you this partly is claim true and and false i think this because you you look at the males most of them have lower temperatures than the females most males are to for their temperatures as think see most some are and up but some males are higher than as partly females are lower than but females if see most females are higher than and most males are lower than
1	i think this claim is partly true and partly false i think this because if you look at the males most of them have lower temperatures than the females most males are to for their temperatures as you see most females are and up but some males are higher than and some females are lower than but as you see most females are higher than and most males are lower than 
1	i think that reckon the temperature affects the virtually turtle eggs hatching male or female because as you can see on my graph most of the lower temperatures reckon are male and the higher temperatures are female
1	i think that the temperature affects the turtle can hatching male see female because as you eggs temperatures on my graph most of the lower or are male and the higher temperatures are female
1	i think that the temperature affects the capsize eggs hatching male or female person because as you can see on my graph most of the lower temperatures are male and the gamy temperatures are female person
1	i think that the temperature affects the turtle eggs hatching male or female because as you can see on my graph most of the lower temperatures are male and the higher temperatures are female 
1	i think this claim is true because when the temperature temperature warmer most of the of stay inside when the is is colder most butterflies outside stay them to make there chrysalis
1	i think this claim is appease true because when the temperature is warmer most of the butterflies reliable stay inside when the temperature is colder most of them stay stay outside to make there chrysalis
1	i think this take is true because when the temperature is warmer most of the butterflies stay inside when the temperature is colder most of them stay away to lay down there chrysalis
1	i think this claim is true because when the temperature is warmer most of the butterflies stay inside when the temperature is colder most of them stay outside to make there chrysalis 
1	i see can that the female has bigger numbers then the males
1	i can see that the female has bigger numbers then male the males
1	i can see that the distaff has bigger numbers then the males
1	i can see that the female has bigger numbers then the males
1	i think this is partly true and partly false because their is one where the graph doesnt support claim of sand temperature affecting the gender the graph also that the claim cant be fully false
1	i think this is partly true and partly false because their is one part where the graph doesnt support the claim of sand temperature pretend the gender the graph also shows that the claim vernacular be fully false
1	i think this is incite partly true and partly false because their is one section shew where the graph doesnt support the claim of sand temperature affecting the gender the graph also shows that the claim cant be fully move false
1	i think this is partly true and partly false because their is one section where the graph doesnt support the claim of sand temperature affecting the gender the graph also shows that the claim cant be fully false 
1	i think it is partly true party false if you look at the claim is the sand temperature affects weather leatherback eggs hatch as male female then at the chart male temperature to look at temperature is from to so to me it looks like if there is a higher temperature there is a female and a lower temperature for a male but i only think it true partly false because temperatures and are both in range them
