0	because
0	I think this is false because the count goes from like 90 to 400 to 30.  On the graph it goes from 50 to 200 to 900.  900 is the most.  If it stayed the same most of the data would be in a line.
0	it went from 33.50 to 909.50
0	id bryan bryan bryan bryan bryan bryan bryan bryan bryan
0	I think this claim is partly true partly false because it has to be a certain temperature for a cryselis to form.
0	its partly true because sea turtles do lay there eggs in the sand its partly false because the sand temperature does not help the eggs hatch into a boy or a girl
0	The reason why I think it is false is because it can't be true.
0	when they keep tract of them they can see were they are Going
0	the article said so
0	I think that the temperature can affect how fast the butterfly goes through it's life cycles because you don't want the temperature to be too hot or too cold, so I think that the outside was perfect temperature because if it was too hot the butterfly would probably not be able to grow as fast but you would want kind of hot so a little hotter then warm. You don't really want it to be that cold for a butterfly because then it won't grow fast you barely want any cold.
0	3 males were born in very hot sand and 2 females were born in coldsand
0	Because more and more butterflies come there each year.
0	its false because we don't have enough information.
0	This answer is false because looking at the temperature range, it's staying in the same range from 1960 and up.
0	because if its to cold it might freeze, killing the butterfly, and if its to warm or hot it could die of exhaustion or it could over-heat causing the stages of a butterfly to slow down.
0	The numbers of the butterfly is not the same
0	i think the claim is false because the number of butter flies has changed
0	they won be dead of the temprchor.
0	I think is true its because the monarch butterflies like it warn in Mexico.
0	it is the same speed going throne life size.
0	hdjhvjusdnvh
0	because in the 1990s there was maybe half 84 and half 85 but in the 2000s it is  more 84 than 85 I sorted it by year so I could see the difference between years in order I just checked if it was not just the 2000s they were talking about but it did not matter.
0	because it said it in the reading
0	I think this clam is false, Because well I was reading it said that we have to keep estimating the range, Because more Monarch Butterfly's keep coming to the perfect whether in Mexico to the forest.
0	it goes up and down in the data.
0	in mexico the count of marnark butter fly stay the same because it is always worm there
0	fight
0	Sample 1 & Sample 2 were about the same temp but were Male and Female.But in Sample 23 & 24 the temp was 4 degrees different,but were also Male and Female.
0	all the temperatures are reasonably close to each other
0	I think this is Partly True/Partly False because if you look at 1960 #24 the temperature is 84.56 F. Then in 1968 it decreases #14 to 83.75 F. So far its true but then in 1988 #5 it increases to 85.59 F and it really just keeps this process going over and over.
0	I think its true because it depends on the weather.And if is hot or cold 
0	I know the claim is partly true and partly false. I know this because The hot sand produces females and cold sand produces male turtles. the partly part is because in the middle of the graph, it's a mix of male, and female babies. I sorted it this way because the question was on the temperature of sand.
0	It is true because the temp. is just like the other female temp. so that is why I think it is true.
0	I think this claim is false. I think that because it is all around the same number. I think that because in almost all the numbers are 85 degrees  for example 17 out of 29 are 85 degrees. Another reason I think this is because the temperature goes down by like 1 degree and then it goes back up. for example it goes down to 84 degrees and then goes back up to 85 degrees.in conclusion i think this claim is false
0	i dont know
0	because it starts from caterpillar to chrysalis, then it ends with a caterpillar not a butterfly.
0	i think it is true because it said people reached the butterfly so i think it is true if they said they reached the butterfly mexico it has to be in the right temperature not to warm or to cold.
0	The Heights of sand go up and down through the years
0	The temperature of the sand shouldn't affect the eggs because when you look at your data table you can see there is no clear pattern for the temperatures to prove that there is a way for the temperature to affect whether leatherback eggs are hatch as male or female.
0	I think this claim is false because as you can tell with the years sorted in this order, you can see how the temperatures go up, down, up, down.  I notes that toward the end in the parts the temp raised! I think it's safe to say this claim is false. on the chart, the green circle represents the temp dropping and the blue circle represents the temp rising. these are just two examples of this.
0	Because if its cold the monarch will die because it does not have much fat on it so if will freeze to death
0	lb
0	because there are no data that the monarch butterfly has stayed in one place for many times in a row. it did not come back in 2013 but they did come back in 2014. so it is false they did not stay in on place for a while
0	i dont know
0	The reason i said it was partly true was because 2006 2005 2007 where about the same but years like 2018 2017 are not the same at all.
0	They when to know how the left skole goes so they keep track of the butterfly.
0	i think true because in australia they have rain and sun some times and i think that would affect them in australia
0	I think the numbers change depending like how much food threat or the temperature or the breeding.
0	the temperature does affect the life cycle of butterflies according to the evidence on the table.
0	I think it is true because if it is cold it is harder for them to turn into a butterfly because it is so cold outside. Another example is if it is really hot outside then it would be hard for the crystal to change because it is so hot.
0	The reason why is because heat can change how will it goes thought it's cycle because it can shell up and it could die in the cold due to the texture drop.
0	I think it is not engine because it do not say that it is
